AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI Version 4.2.850.0

PROFILE DETAILS
CPU Details:,Family(0x17) Model(0x31)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Sep-17-2024_11-09-47,
Profile Duration:,10 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
48.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power
1,11:9:47:407,   37.70
2,11:9:47:507,   36.25
3,11:9:47:607,   35.38
4,11:9:47:707,   31.35
5,11:9:47:807,   30.18
6,11:9:47:907,   29.16
7,11:9:48:007,   36.11
8,11:9:48:107,   35.70
9,11:9:48:207,   35.15
10,11:9:48:307,   37.48
11,11:9:48:407,   36.52
12,11:9:48:507,   37.39
13,11:9:48:607,   37.93
14,11:9:48:707,   37.72
15,11:9:48:807,   41.79
16,11:9:48:907,   41.27
17,11:9:49:007,   40.12
18,11:9:49:107,   42.80
19,11:9:49:207,   40.01
20,11:9:49:307,   39.01
21,11:9:49:407,   36.40
22,11:9:49:507,   35.98
23,11:9:49:607,   34.15
24,11:9:49:707,   30.58
25,11:9:49:807,   30.66
26,11:9:49:907,   29.84
27,11:9:50:007,   31.47
28,11:9:50:107,   29.07
29,11:9:50:207,   34.59
30,11:9:50:307,   35.77
31,11:9:50:407,   36.04
32,11:9:50:507,   35.70
33,11:9:50:607,   35.63
34,11:9:50:707,   37.79
35,11:9:50:807,   38.71
36,11:9:50:907,   40.10
37,11:9:51:007,   40.56
38,11:9:51:107,   38.84
39,11:9:51:207,   38.82
40,11:9:51:307,   39.11
41,11:9:51:407,   39.68
42,11:9:51:507,   39.10
43,11:9:51:607,   39.06
44,11:9:51:707,   38.61
45,11:9:51:807,   38.23
46,11:9:51:907,   39.35
47,11:9:52:007,   38.55
48,11:9:52:107,   36.06
49,11:9:52:207,   36.69
50,11:9:52:307,   38.13
51,11:9:52:407,   39.01
52,11:9:52:507,   39.24
53,11:9:52:607,   39.11
54,11:9:52:707,   38.67
55,11:9:52:807,   39.10
56,11:9:52:907,   38.54
57,11:9:53:007,   39.99
58,11:9:53:107,   39.74
59,11:9:53:207,   39.66
60,11:9:53:307,   38.80
61,11:9:53:407,   35.98
62,11:9:53:507,   38.31
63,11:9:53:607,   38.34
64,11:9:53:707,   35.89
65,11:9:53:807,   35.72
66,11:9:53:907,   35.74
67,11:9:54:007,   31.69
68,11:9:54:107,   34.82
69,11:9:54:207,   33.78
70,11:9:54:307,   34.27
71,11:9:54:407,   35.09
72,11:9:54:507,   37.97
73,11:9:54:607,   36.47
74,11:9:54:707,   39.27
75,11:9:54:807,   39.43
76,11:9:54:907,   35.97
77,11:9:55:007,   35.53
78,11:9:55:107,   32.65
79,11:9:55:207,   35.84
80,11:9:55:307,   35.97
81,11:9:55:407,   36.19
82,11:9:55:507,   35.66
83,11:9:55:607,   35.75
84,11:9:55:707,   35.70
85,11:9:55:807,   36.03
86,11:9:55:907,   35.42
87,11:9:56:007,   33.57
88,11:9:56:107,   35.89
89,11:9:56:207,   34.69
90,11:9:56:307,   35.82
91,11:9:56:407,   37.10
92,11:9:56:507,   34.49
93,11:9:56:607,   33.21
94,11:9:56:707,   35.71
95,11:9:56:807,   35.49
96,11:9:56:907,   31.59
97,11:9:57:007,   31.18
98,11:9:57:107,   34.78
99,11:9:57:207,   33.75
