RecordId,Timestamp,socket0-package-power
1,11:20:34:541,   43.57
2,11:20:34:641,   39.86
3,11:20:34:741,   36.60
4,11:20:34:841,   35.97
5,11:20:34:941,   38.71
6,11:20:35:041,   38.27
7,11:20:35:141,   36.15
8,11:20:35:241,   36.22
9,11:20:35:341,   37.00
10,11:20:35:441,   36.27
11,11:20:35:541,   36.32
12,11:20:35:641,   35.83
13,11:20:35:741,   36.30
14,11:20:35:841,   35.90
15,11:20:35:941,   41.36
16,11:20:36:041,   38.55
17,11:20:36:141,   36.94
18,11:20:36:241,   35.71
19,11:20:36:341,   35.87
20,11:20:36:441,   35.72
21,11:20:36:541,   35.94
22,11:20:36:641,   41.00
23,11:20:36:741,   40.24
24,11:20:36:841,   38.36
25,11:20:36:941,   36.00
26,11:20:37:041,   37.47
27,11:20:37:141,   38.30
28,11:20:37:241,   35.86
29,11:20:37:341,   35.90
30,11:20:37:441,   38.08
31,11:20:37:541,   40.11
32,11:20:37:641,   36.02
33,11:20:37:741,   35.56
34,11:20:37:841,   36.24
35,11:20:37:941,   35.74
36,11:20:38:041,   35.90
37,11:20:38:141,   35.98
38,11:20:38:241,   35.48
39,11:20:38:341,   37.01
40,11:20:38:441,   37.44
41,11:20:38:541,   37.64
42,11:20:38:641,   35.78
43,11:20:38:741,   36.65
44,11:20:38:841,   35.44
45,11:20:38:941,   35.77
46,11:20:39:041,   35.72
47,11:20:39:141,   35.76
48,11:20:39:241,   36.65
49,11:20:39:341,   35.49
50,11:20:39:441,   38.98
51,11:20:39:541,   61.57
52,11:20:39:641,   62.94
53,11:20:39:741,   62.76
54,11:20:39:841,   62.11
55,11:20:39:941,   62.94
56,11:20:40:041,   63.51
57,11:20:40:141,   63.17
58,11:20:40:241,   63.09
59,11:20:40:341,   62.67
60,11:20:40:441,   63.43
61,11:20:40:541,   63.46
62,11:20:40:641,   63.86
63,11:20:40:741,   63.36
64,11:20:40:841,   62.82
65,11:20:40:941,   62.24
66,11:20:41:041,   63.18
67,11:20:41:141,   63.14
